gender,age,height,weight,bust_circumference,waist_circumference,hip_circumference
F,20.0,"1,627",56.0,840,664,934
M,53.0,"1,738",78.0,"1,006",957,945
F,31.0,"1,575",54.3,886,774,909
M,55.0,"1,745",58.2,818,728,920
M,67.0,"1,625",55.6,888,735,854
M,41.0,"1,693",72.6,900,831,933
F,23.0,"1,508",53.3,845,735,950
F,43.0,"1,555",52.5,851,715,895
F,45.0,"1,621",52.0,802,700,905
M,36.0,"1,617",60.4,868,785,900
M,33.0,"1,728",63.8,872,756,913
F,56.0,"1,488",60.6,"1,005",915,870
M,54.0,"1,715",84.9,"1,042",919,"1,026"
F,33.0,"1,531",62.6,909,810,973
M,63.0,"1,674",62.2,911,823,886
F,67.0,"1,516",51.2,870,790,858
F,16.0,"1,644",64.1,895,794,"1,015"
F,19.0,"1,618",79.8,"1,002",920,"1,125"
M,16.0,"1,722",54.0,783,663,856
M,43.0,"1,730",70.9,925,825,948
M,20.0,"1,769",68.5,874,723,953
F,32.0,"1,626",48.3,780,645,891
F,34.0,"1,607",56.9,919,862,999
M,16.0,"1,651",51.4,786,695,861
M,16.0,"1,773",61.7,810,674,874
M,44.0,"1,691",71.7,935,923,949
M,29.0,"1,702",66.7,912,819,881
F,67.0,"1,523",60.1,935,835,921
F,17.0,"1,724",60.5,856,673,942
M,33.0,"1,682",93.7,"1,126","1,036","1,102"
M,17.0,"1,754",60.9,830,704,923
M,47.0,"1,746",78.8,976,891,"1,005"
M,66.0,"1,633",53.6,833,718,868
M,17.0,"1,758",59.0,832,670,899
F,57.0,"1,568",48.5,795,705,867
M,53.0,"1,730",79.2,967,970,974
F,49.0,"1,618",63.5,957,825,980
M,16.0,"1,795",59.4,800,694,920
M,17.0,"1,740",68.5,868,788,970
F,16.0,"1,605",60.5,925,726,935
F,54.0,"1,545",61.4,955,886,940
F,21.0,"1,587",75.6,970,907,"1,025"
F,19.0,"1,589",50.4,796,675,885
F,19.0,"1,627",49.5,806,635,868
M,22.0,"1,780",73.9,895,783,895
M,20.0,"1,655",55.6,835,700,855
M,22.0,"1,688",65.6,905,730,900
M,30.0,"1,668",78.8,971,920,"1,016"
M,30.0,"1,725",76.2,969,821,970
M,17.0,"1,701",60.3,851,700,876
M,36.0,"1,643",84.2,"1,018",965,"1,064"
M,16.0,"1,700",71.2,900,771,"1,002"
M,16.0,"1,655",60.3,841,695,905
M,62.0,"1,681",67.0,958,811,911
M,36.0,"1,770",74.2,904,791,967
F,50.0,"1,561",71.5,"1,021",911,"1,001"
M,42.0,"1,698",67.4,872,819,946
F,23.0,"1,621",61.6,864,784,955
F,16.0,"1,542",49.2,791,735,871
F,39.0,"1,621",57.6,842,782,964
F,24.0,"1,575",49.4,845,648,860
M,25.0,"1,875",69.5,876,772,972
F,37.0,"1,581",51.9,788,695,931
F,34.0,"1,652",51.1,810,640,890
F,42.0,"1,590",79.7,"1,075",972,"1,005"
F,43.0,"1,448",41.1,816,705,831
F,36.0,"1,593",49.4,797,670,886
F,23.0,"1,645",51.8,825,695,866
M,25.0,"1,705",57.9,817,720,872
F,53.0,"1,535",51.9,829,798,921
F,53.0,"1,539",47.5,805,700,862
F,24.0,"1,607",57.7,928,744,940
M,41.0,"1,755",78.0,989,843,980
M,17.0,"1,725",72.1,935,835,977
F,54.0,"1,538",48.6,848,740,883
M,22.0,"1,708",56.7,803,707,872
F,33.0,"1,614",60.0,857,750,970
F,18.0,"1,568",53.2,835,680,922
F,16.0,"1,688",60.9,885,705,945
M,34.0,"1,715",78.7,932,875,"1,002"
F,57.0,"1,520",54.6,916,738,886
M,20.0,"1,675",59.5,832,734,891
M,28.0,"1,675",68.9,913,809,944
F,51.0,"1,686",80.7,"1,024",941,"1,025"
M,26.0,"1,757",90.0,"1,054",956,"1,032"
F,16.0,"1,651",64.1,895,720,963
M,16.0,"1,684",60.7,783,699,924
M,18.0,"1,670",51.6,740,678,850
F,60.0,"1,547",53.6,864,793,930
M,18.0,"1,770",63.7,805,735,922
F,16.0,"1,499",52.2,831,730,921
F,19.0,"1,619",71.4,"1,012",855,"1,021"
M,22.0,"1,767",56.9,820,658,834
M,16.0,"1,697",53.8,757,664,841
F,21.0,"1,562",59.6,910,752,966
M,26.0,"1,695",70.5,957,840,971
F,51.0,"1,626",65.1,950,790,"1,000"
M,23.0,"1,781",93.5,"1,085",946,"1,071"
F,17.0,"1,638",61.4,851,710,"1,001"
F,16.0,"1,548",49.9,802,690,884
M,28.0,"1,784",76.1,906,832,976
F,16.0,"1,572",48.1,770,640,870
M,17.0,"1,783",76.3,950,840,"1,005"
F,34.0,"1,600",55.6,850,721,935
F,56.0,"1,575",65.4,910,774,995
F,39.0,"1,640",64.6,915,773,987
M,24.0,"1,735",66.7,894,748,929
F,19.0,"1,564",60.8,905,786,952
F,27.0,"1,611",43.7,746,669,852
M,38.0,"1,729",81.6,"1,018",920,"1,003"
M,37.0,"1,747",74.3,936,943,931
F,28.0,"1,628",58.4,887,758,926
F,16.0,"1,647",52.4,788,660,900
F,25.0,"1,680",53.8,798,720,892
M,23.0,"1,763",68.2,891,735,905
F,60.0,"1,615",63.4,915,794,961
M,18.0,"1,714",63.8,844,716,871
M,16.0,"1,734",58.1,796,665,885
M,18.0,"1,704",60.9,825,681,877
M,16.0,"1,769",70.4,880,765,975
M,38.0,"1,784",62.7,849,770,895
F,19.0,"1,503",57.1,885,803,925
F,22.0,"1,645",56.8,805,775,961
F,36.0,"1,664",87.6,"1,019",860,"1,121"
F,25.0,"1,703",65.7,881,742,"1,006"
M,61.0,"1,623",67.3,955,892,957
M,34.0,"1,680",55.6,812,680,845
F,20.0,"1,599",49.8,808,693,905
M,31.0,"1,735",84.9,"1,025",960,"1,042"
M,19.0,"1,790",72.0,891,842,987
M,19.0,"1,740",61.1,885,756,940
M,31.0,"1,625",67.2,920,832,940
M,23.0,"1,784",88.8,"1,018",885,"1,072"
F,64.0,"1,611",67.9,"1,018",895,945
F,33.0,"1,590",54.7,840,791,925
F,52.0,"1,605",67.6,"1,025",951,971
M,57.0,"1,616",67.2,963,831,942
F,50.0,"1,522",60.4,991,815,901
M,47.0,"1,744",77.2,993,902,"1,010"
F,33.0,"1,678",60.6,870,798,945
M,18.0,"1,794",97.4,"1,078",978,"1,142"
M,25.0,"1,730",68.3,870,757,941
F,22.0,"1,685",56.1,850,702,937
M,31.0,"1,837",82.9,988,880,"1,042"
M,53.0,"1,624",65.8,906,881,897
F,32.0,"1,547",60.3,923,880,996
M,65.0,"1,639",86.4,"1,101","1,110",999
F,19.0,"1,581",47.3,846,657,847
M,22.0,"1,695",56.9,883,695,846
F,16.0,"1,523",65.1,984,817,981
F,16.0,"1,586",53.2,820,710,894
M,24.0,"1,830",129.7,"1,269","1,235","1,201"
F,45.0,"1,505",49.0,815,717,884
F,17.0,"1,506",52.0,851,721,889
F,17.0,"1,614",48.0,740,629,874
F,23.0,"1,646",47.5,699,600,889
F,19.0,"1,600",47.4,742,647,860
M,19.0,"1,685",63.7,866,768,965
M,31.0,"1,777",92.5,"1,050",990,"1,065"
F,38.0,"1,620",51.7,845,726,890
F,18.0,"1,604",57.5,856,740,966
M,36.0,"1,858",67.5,920,757,902
F,61.0,"1,575",46.6,776,721,870
M,18.0,"1,684",75.2,941,899,985
F,34.0,"1,649",54.8,855,710,890
M,24.0,"1,769",61.4,871,695,881
F,41.0,"1,521",63.5,972,910,974
F,17.0,"1,620",61.8,861,720,971
M,20.0,"1,686",68.9,875,787,993
F,37.0,"1,669",53.5,825,678,882
F,25.0,"1,607",55.1,840,682,905
F,36.0,"1,571",52.0,840,735,894
F,38.0,"1,610",49.5,790,659,870
F,64.0,"1,591",66.0,982,941,935
M,23.0,"1,758",74.3,970,895,987
M,42.0,"1,792",77.0,930,862,963
M,16.0,"1,741",64.8,843,704,950
F,30.0,"1,604",62.3,945,792,987
M,38.0,"1,785",84.0,"1,005",871,996
F,45.0,"1,590",67.0,968,865,990
M,28.0,"1,864",99.9,"1,035",935,"1,132"
F,51.0,"1,515",55.5,884,790,945
M,23.0,"1,815",60.4,837,720,850
M,33.0,"1,794",88.6,"1,040",925,"1,020"
M,16.0,"1,641",58.3,767,720,900
M,37.0,"1,715",81.1,"1,004",886,"1,013"
F,40.0,"1,646",59.2,811,740,951
F,18.0,"1,590",45.5,781,630,861
F,44.0,"1,540",57.1,908,820,930
F,34.0,"1,601",56.8,874,708,940
F,29.0,"1,715",62.8,912,735,957
F,18.0,"1,686",61.3,891,790,961
F,18.0,"1,661",61.0,870,700,970
M,32.0,"1,759",82.5,"1,008",916,"1,005"
F,44.0,"1,585",67.3,925,826,"1,005"
F,33.0,"1,565",64.4,945,855,964
F,54.0,"1,495",49.7,850,770,871
M,39.0,"1,628",67.4,902,853,944
M,18.0,"1,734",69.5,879,786,926
M,16.0,"1,723",76.8,912,824,"1,006"
F,34.0,"1,597",57.0,889,768,904
M,63.0,"1,610",59.4,918,779,854
M,22.0,"1,717",80.7,975,855,"1,032"
F,20.0,"1,515",46.0,756,645,880
F,16.0,"1,585",48.4,770,634,876
F,27.0,"1,628",58.3,865,745,934
M,52.0,"1,675",78.7,"1,002",954,955
M,61.0,"1,688",76.1,981,932,942
F,56.0,"1,568",58.2,868,750,973
M,62.0,"1,646",70.0,960,906,947
M,35.0,"1,779",80.4,"1,032",852,972
F,66.0,"1,562",60.9,915,814,982
F,18.0,"1,665",55.7,799,700,940
M,33.0,"1,717",66.5,906,765,930
F,28.0,"1,616",48.0,804,651,881
F,26.0,"1,600",58.9,905,815,955
M,63.0,"1,702",84.9,"1,065","1,003",998
M,35.0,"1,815",50.6,"1,055",930,"1,046"
M,17.0,"1,651",47.6,775,640,848
F,61.0,"1,595",69.6,950,880,"1,012"
M,53.0,"1,605",45.2,782,685,806
F,68.0,"1,515",72.8,"1,034","1,000","1,000"
F,42.0,"1,620",88.2,"1,054",975,"1,081"
F,47.0,"1,592",60.0,945,821,920
M,20.0,"1,757",69.1,870,740,940
M,16.0,"1,785",64.9,865,704,926
F,47.0,"1,588",63.5,967,875,925
M,19.0,"1,735",76.4,885,833,990
M,39.0,"1,717",71.1,938,864,940
F,18.0,"1,602",58.3,921,711,926
M,17.0,"1,684",81.4,957,813,"1,069"
M,22.0,"1,752",84.5,998,852,"1,024"
M,16.0,"1,788",63.3,810,705,925
M,17.0,"1,660",71.1,915,820,950
F,20.0,"1,686",54.2,788,710,941
M,39.0,"1,813",75.7,915,790,986
M,54.0,"1,625",63.8,893,790,920
F,22.0,"1,551",49.4,811,661,891
M,36.0,"1,753",75.4,921,856,949
F,60.0,"1,515",57.9,979,812,904
F,52.0,"1,525",56.0,936,841,891
F,32.0,"1,570",57.5,864,711,"1,020"
M,22.0,"1,630",60.3,852,754,940
F,49.0,"1,545",46.0,775,655,871
F,18.0,"1,560",62.6,941,810,935
F,34.0,"1,717",83.0,932,877,"1,122"
F,58.0,"1,525",50.1,881,795,855
F,16.0,"1,601",61.9,954,756,950
M,24.0,"1,804",78.7,990,881,975
F,24.0,"1,642",54.0,825,660,911
F,63.0,"1,550",61.2,983,860,950
M,17.0,"1,840",73.2,880,760,960
M,32.0,"1,785",65.5,875,717,932
M,16.0,"1,793",63.0,804,708,914
F,16.0,"1,653",61.3,838,727,985
M,26.0,"1,624",85.3,997,976,"1,033"
M,37.0,"1,711",66.8,919,771,930
F,19.0,"1,625",54.6,825,664,954
F,47.0,"1,555",59.9,911,808,930
M,33.0,"1,685",61.3,883,727,890
F,37.0,"1,616",49.0,860,640,871
M,25.0,"1,773",75.3,"1,010",800,940
F,16.0,"1,582",52.4,850,705,922
F,22.0,"1,585",55.1,831,714,925
F,16.0,"1,468",62.5,936,862,981
F,17.0,"1,555",53.5,873,712,966
M,16.0,"1,627",51.0,788,668,880
F,25.0,"1,570",54.8,885,750,927
F,38.0,"1,560",56.7,869,730,940
F,29.0,"1,583",47.6,765,630,863
F,51.0,"1,583",57.0,895,784,945
F,36.0,"1,570",58.4,902,802,891
M,30.0,"1,720",70.7,904,807,985
F,55.0,"1,447",56.6,953,915,929
M,38.0,"1,682",83.1,"1,020",964,991
F,17.0,"1,558",49.7,823,643,875
F,18.0,"1,575",65.9,944,877,"1,010"
M,28.0,"1,732",77.1,954,825,990
F,31.0,"1,593",54.7,855,720,915
M,25.0,"1,683",71.7,942,844,976
M,20.0,"1,732",66.3,850,745,930
F,20.0,"1,620",47.3,746,668,856
F,44.0,"1,593",61.2,915,815,993
M,20.0,"1,693",70.0,905,778,966
F,25.0,"1,584",45.8,756,651,888
M,32.0,"1,805",92.2,"1,040",981,"1,030"
M,22.0,"1,744",65.3,875,752,935
F,46.0,"1,568",50.1,828,714,880
M,42.0,"1,769",77.7,943,780,995
F,31.0,"1,648",63.9,959,832,992
M,29.0,"1,735",60.3,920,753,876
F,57.0,"1,545",58.8,904,832,942
M,62.0,"1,604",69.2,980,895,950
M,26.0,"1,685",71.3,916,782,947
F,44.0,"1,658",53.1,816,688,885
M,18.0,"1,717",68.5,906,754,916
M,43.0,"1,620",60.8,895,760,905
M,16.0,"1,768",61.3,820,685,900
F,33.0,"1,619",49.3,798,644,900
M,36.0,"1,689",82.4,"1,037",951,974
F,17.0,"1,662",65.8,952,725,980
M,23.0,"1,725",67.4,942,797,930
F,27.0,"1,541",49.1,800,673,920
F,38.0,"1,650",53.8,813,700,890
F,47.0,"1,573",53.2,890,735,902
F,27.0,"1,685",62.2,821,730,975
F,62.0,"1,544",56.3,942,880,943
M,38.0,"1,758",70.9,915,801,937
F,27.0,"1,584",52.7,812,722,960
M,20.0,"1,730",59.5,843,691,910
F,18.0,"1,561",56.0,861,749,945
M,23.0,"1,827",81.0,980,793,985
F,28.0,"1,636",66.8,855,775,"1,040"
F,30.0,"1,628",45.3,766,644,851
F,18.0,"1,520",48.2,796,642,898
M,27.0,"1,770",74.1,967,786,973
M,24.0,"1,760",79.6,"1,002",821,"1,002"
M,18.0,"1,907",88.7,952,830,"1,045"
F,17.0,"1,606",56.7,826,721,940
F,34.0,"1,549",53.5,825,750,960
M,21.0,"1,724",61.3,890,720,874
M,16.0,"1,721",60.1,865,700,910
M,38.0,"1,735",54.3,793,715,823
F,22.0,"1,665",63.9,935,820,950
F,59.0,"1,581",59.4,890,825,962
F,17.0,"1,639",51.8,796,651,886
M,38.0,"1,624",55.1,848,714,878
F,28.0,"1,560",50.5,837,705,901
F,23.0,"1,605",54.4,833,719,933
F,36.0,"1,629",72.5,940,821,"1,051"
F,53.0,"1,533",47.0,833,733,845
M,30.0,"1,610",64.0,885,778,931
F,47.0,"1,637",78.5,"1,076",935,"1,001"
M,21.0,"1,824",65.8,880,740,915
M,34.0,"1,675",71.3,935,861,941
F,18.0,"1,560",55.8,890,690,933
F,18.0,"1,699",71.6,895,831,"1,005"
F,23.0,"1,512",44.5,770,620,824
M,16.0,"1,675",59.4,842,715,881
M,22.0,"1,799",63.6,884,685,905
M,32.0,"1,756",81.5,"1,054",861,995
F,17.0,"1,551",61.7,941,840,999
F,17.0,"1,601",55.2,880,723,916
M,16.0,"1,653",59.3,884,706,900
M,37.0,"1,633",57.7,900,749,842
F,20.0,"1,655",48.1,814,671,845
M,28.0,"1,688",66.5,895,844,956
M,25.0,"1,700",67.2,876,813,955
F,16.0,"1,643",51.5,795,643,896
F,65.0,"1,478",60.8,984,910,925
M,28.0,"1,655",71.9,927,884,988
M,32.0,"1,798",79.7,943,758,976
F,48.0,"1,492",51.0,814,735,930
F,27.0,"1,612",54.2,814,725,932
F,34.0,"1,574",69.6,915,905,"1,059"
F,21.0,"1,555",56.3,860,740,972
F,23.0,"1,627",58.8,860,720,"1,002"
F,20.0,"1,614",42.3,735,635,815
F,16.0,"1,687",57.1,800,670,905
F,36.0,"1,675",59.9,903,755,930
F,43.0,"1,669",85.6,"1,090",985,"1,053"
M,17.0,"1,752",71.6,920,780,975
F,17.0,"1,538",56.2,935,775,925
M,23.0,"1,790",88.2,"1,008",920,"1,062"
M,20.0,"1,606",75.2,969,934,"1,051"
M,27.0,"1,734",76.9,"1,012",825,978
M,23.0,"1,793",64.3,858,763,911
F,27.0,"1,600",83.4,"1,154","1,053","1,001"
M,64.0,"1,560",58.1,913,821,883
M,47.0,"1,691",70.3,930,842,950
F,38.0,"1,593",50.0,783,676,916
M,17.0,"1,733",75.7,934,805,946
F,27.0,"1,540",58.4,926,751,962
F,26.0,"1,597",61.2,872,760,963
M,19.0,"1,724",59.4,842,748,902
F,36.0,"1,646",55.4,853,673,912
F,32.0,"1,647",49.5,766,632,875
F,17.0,"1,507",43.5,765,610,850
M,30.0,"1,825",91.7,"1,024",859,"1,028"
F,34.0,"1,608",48.0,765,621,884
M,18.0,"1,675",73.5,924,773,990
M,18.0,"1,753",60.6,802,684,840
M,16.0,"1,561",62.7,923,841,916
F,46.0,"1,498",49.3,831,810,909
M,20.0,"1,703",86.2,"1,050",940,"1,040"
F,21.0,"1,610",50.2,773,650,890
M,48.0,"1,658",75.8,972,913,972
F,39.0,"1,577",57.0,865,740,948
F,23.0,"1,555",41.6,735,600,791
M,19.0,"1,670",66.6,875,786,912
M,18.0,"1,660",52.7,793,657,846
F,34.0,"1,504",52.6,824,740,931
M,19.0,"1,711",53.0,800,700,842
F,35.0,"1,599",61.9,887,796,930
F,57.0,"1,403",53.2,941,864,870
F,16.0,"1,600",55.1,882,667,915
F,39.0,"1,672",68.5,965,900,964
M,19.0,"1,770",61.5,880,693,907
M,17.0,"1,815",62.8,827,690,895
F,36.0,"1,554",49.0,800,725,855
M,16.0,"1,715",65.1,845,735,927
F,36.0,"1,532",52.7,885,767,895
M,16.0,"1,677",50.4,800,685,838
F,57.0,"1,496",75.1,"1,067","1,031","1,071"
F,33.0,"1,600",55.6,865,735,905
F,36.0,"1,705",61.5,857,720,928
F,53.0,"1,505",54.0,852,805,923
F,16.0,"1,575",51.0,801,645,901
F,28.0,"1,704",88.2,"1,065",980,"1,057"
M,19.0,"1,650",53.3,815,681,850
M,16.0,"1,706",58.4,800,705,911
M,17.0,"1,784",77.7,972,820,996
F,44.0,"1,700",75.4,"1,021",881,"1,000"
F,26.0,"1,645",54.5,825,692,925
F,17.0,"1,496",48.8,802,685,907
M,63.0,"1,704",64.5,935,840,916
F,27.0,"1,604",57.6,877,763,922
F,20.0,"1,613",62.7,924,750,"1,000"
M,16.0,"1,767",70.1,840,770,970
M,19.0,"1,678",57.7,835,715,885
F,51.0,"1,475",56.1,914,760,964
M,35.0,"1,713",74.7,895,888,967
M,18.0,"1,790",65.2,815,735,913
M,39.0,"1,637",71.2,941,891,948
F,16.0,"1,620",57.1,831,671,945
F,38.0,"1,589",51.2,782,715,915
M,18.0,"1,750",55.0,794,660,881
F,38.0,"1,565",55.8,870,743,940
F,26.0,"1,655",54.7,800,700,907
F,20.0,"1,580",55.2,891,751,900
F,38.0,"1,593",70.0,951,930,990
F,62.0,"1,464",68.4,"1,065","1,015",970
F,17.0,"1,554",61.0,921,854,965
M,41.0,"1,760",90.1,"1,026",985,"1,030"
F,18.0,"1,636",44.4,732,600,845
F,18.0,"1,626",52.9,842,665,881
F,16.0,"1,564",45.2,770,627,851
M,18.0,"1,751",74.4,936,864,990
F,19.0,"1,587",53.7,782,794,925
M,37.0,"1,756",85.6,"1,026",938,"1,010"
M,19.0,"1,681",74.3,917,852,"1,014"
M,69.0,"1,585",63.2,930,881,925
F,34.0,"1,684",59.8,885,726,925
F,16.0,"1,610",44.8,735,645,850
M,17.0,"1,791",67.4,867,738,917
F,30.0,"1,519",89.6,"1,146","1,187","1,192"
F,16.0,"1,518",40.2,720,592,823
F,17.0,"1,655",53.6,784,690,929
M,47.0,"1,782",91.8,"1,068",952,"1,040"
M,30.0,"1,671",73.5,969,842,967
M,34.0,"1,674",68.2,923,859,944
F,16.0,"1,583",54.8,822,665,936
F,20.0,"1,560",44.8,671,651,842
F,22.0,"1,766",74.9,972,799,"1,015"
M,60.0,"1,682",78.6,977,955,"1,000"
F,40.0,"1,568",60.2,964,806,937
F,18.0,"1,603",57.4,822,682,950
F,31.0,"1,531",61.0,912,813,972
M,67.0,"1,656",74.6,984,951,960
F,34.0,"1,510",47.9,832,733,850
M,16.0,"1,775",108.6,"1,096",995,"1,150"
F,21.0,"1,555",50.9,830,693,901
M,19.0,"1,733",68.0,926,760,922
M,34.0,"1,710",78.2,977,897,971
F,23.0,"1,570",59.5,911,766,937
M,37.0,"1,662",68.5,"1,000",825,890
F,18.0,"1,516",47.5,786,699,862
M,55.0,"1,616",67.8,933,870,953
F,20.0,"1,556",53.0,815,725,944
M,19.0,"1,765",68.3,842,770,895
F,47.0,"1,648",50.6,812,676,870
M,19.0,"1,744",68.9,920,740,942
M,23.0,"1,714",70.3,894,835,977
F,45.0,"1,547",47.8,785,628,892
F,29.0,"1,606",55.4,851,728,937
M,17.0,"1,635",49.9,765,660,846
F,54.0,"1,651",69.2,980,841,950
F,69.0,"1,609",62.4,984,885,938
M,39.0,"1,729",85.5,965,934,"1,034"
F,19.0,"1,681",90.8,"1,070",880,"1,140"
F,56.0,"1,576",64.8,979,871,915
F,18.0,"1,570",54.7,865,715,934
M,58.0,"1,653",68.5,920,895,910
F,20.0,"1,561",45.0,775,675,872
M,23.0,"1,860",79.3,974,786,957
M,19.0,"1,760",82.1,948,885,"1,064"
F,33.0,"1,562",54.3,855,734,925
F,22.0,"1,558",57.9,848,741,962
F,38.0,"1,628",45.3,772,690,851
M,25.0,"1,750",72.7,901,971,820
M,27.0,"1,710",67.4,891,755,955
F,57.0,"1,606",73.8,"1,040",986,985
M,40.0,"1,699",76.4,941,892,965
F,28.0,"1,657",93.9,"1,125","1,051","1,075"
F,41.0,"1,725",61.4,857,800,934
M,34.0,"1,785",70.9,940,766,955
F,26.0,"1,630",55.1,886,771,934
M,19.0,"1,665",64.3,874,765,921
F,67.0,"1,500",53.3,942,760,895
M,30.0,"1,729",65.1,891,785,945
M,41.0,"1,686",80.0,"1,017",900,990
F,34.0,"1,611",52.0,811,731,904
F,25.0,"1,581",50.2,838,692,882
M,24.0,"1,820",83.0,"1,002",860,"1,016"
M,17.0,"1,735",61.2,900,730,915
F,20.0,"1,565",48.0,830,740,871
F,23.0,"1,603",52.2,824,661,884
F,38.0,"1,575",61.0,915,865,975
F,52.0,"1,562",48.3,845,720,835
M,44.0,"1,676",65.2,908,835,890
M,17.0,"1,840",63.8,831,695,900
F,17.0,"1,655",61.3,910,720,951
F,32.0,"1,580",52.9,865,761,874
M,19.0,"1,691",71.8,934,810,965
F,19.0,"1,660",65.9,847,692,990
M,29.0,"1,760",70.9,905,826,980
F,23.0,"1,590",48.1,835,655,885
M,57.0,"1,709",72.4,973,910,946
M,39.0,"1,805",87.3,"1,050",911,975
F,26.0,"1,590",47.2,753,682,852
M,31.0,"1,751",88.0,"1,037",902,"1,030"
F,68.0,"1,480",59.3,931,894,967
M,17.0,"1,724",58.9,810,697,909
M,36.0,"1,704",73.2,951,876,970
F,25.0,"1,656",52.9,820,755,885
M,47.0,"1,676",68.2,895,841,909
M,34.0,"1,768",60.9,865,780,880
F,35.0,"1,590",57.5,884,748,914
M,56.0,"1,640",73.1,980,975,963
F,43.0,"1,598",62.8,958,838,948
F,38.0,"1,605",59.8,921,845,930
F,33.0,"1,598",47.2,758,632,872
F,41.0,"1,622",48.6,758,655,903
M,26.0,"1,672",71.7,925,854,943
F,50.0,"1,582",60.7,925,843,970
M,42.0,"1,783",80.7,"1,069",885,971
F,16.0,"1,620",64.7,880,805,950
M,39.0,"1,712",75.2,966,879,966
M,31.0,"1,683",78.9,980,863,"1,025"
M,34.0,"1,766",79.5,953,882,992
F,19.0,"1,634",50.2,779,688,902
F,21.0,"1,589",43.7,765,655,840
M,41.0,"1,671",57.8,845,780,882
M,64.0,"1,643",56.4,855,719,845
F,18.0,"1,570",56.6,795,660,942
M,24.0,"1,664",66.8,914,836,955
F,17.0,"1,630",55.9,834,690,905
F,34.0,"1,610",56.8,875,745,940
F,16.0,"1,638",50.8,730,637,895
M,37.0,"1,716",76.6,944,860,972
M,55.0,"1,693",71.8,954,898,960
F,27.0,"1,628",61.6,892,831,"1,009"
F,35.0,"1,645",60.7,883,822,981
M,24.0,"1,824",82.6,946,899,"1,016"
M,49.0,"1,680",67.0,891,818,929
F,22.0,"1,523",46.1,782,600,880
M,44.0,"1,627",91.3,"1,134","1,058","1,076"
M,20.0,"1,734",63.8,900,717,920
M,17.0,"1,633",70.7,916,870,965
M,19.0,"1,770",61.6,805,710,906
F,39.0,"1,572",58.8,932,841,945
M,44.0,"1,713",78.2,972,910,"1,005"
F,16.0,"1,726",57.9,835,720,941
M,34.0,"1,750",79.5,914,850,"1,031"
M,40.0,"1,661",62.7,887,786,884
F,59.0,"1,555",57.5,952,811,954
F,16.0,"1,610",56.2,880,770,920
M,69.0,"1,612",69.9,"1,012",896,905
M,25.0,"1,671",59.0,825,692,902
F,61.0,"1,542",68.9,"1,001",925,"1,015"
F,19.0,"1,618",65.5,904,760,960
M,19.0,"1,708",57.0,824,740,853
F,18.0,"1,566",57.5,921,768,916
M,24.0,"1,715",71.9,985,842,921
M,28.0,"1,777",77.6,935,860,994
M,38.0,"1,848",98.3,"1,105",963,"1,020"
F,23.0,"1,585",58.3,854,730,966
F,34.0,"1,580",58.5,880,756,935
F,34.0,"1,515",53.5,852,745,920
M,67.0,"1,566",74.7,975,"1,006",990
F,45.0,"1,525",52.3,910,785,865
M,48.0,"1,633",68.2,924,886,915
F,16.0,"1,630",47.8,733,634,864
M,23.0,"1,730",77.3,962,875,999
F,57.0,"1,473",46.7,816,680,870
M,37.0,"1,702",71.9,912,832,955
F,16.0,"1,609",80.7,"1,032",905,"1,082"
M,28.0,"1,778",94.9,"1,070",955,"1,075"
M,54.0,"1,754",75.6,984,887,904
M,17.0,"1,757",57.3,808,695,878
M,18.0,"1,788",80.3,972,875,"1,029"
F,56.0,"1,665",65.4,985,890,899
M,31.0,"1,715",62.7,847,739,920
M,55.0,"1,594",64.0,974,883,909
M,38.0,"1,758",71.3,960,802,940
M,26.0,"1,625",58.6,835,750,897
F,30.0,"1,685",62.3,902,799,985
M,19.0,"1,695",66.0,848,730,951
M,60.0,"1,594",75.4,984,"1,001",956
M,35.0,"1,771",80.1,955,896,"1,023"
F,18.0,"1,480",56.3,872,794,962
F,44.0,"1,595",57.2,885,732,945
F,20.0,"1,677",62.5,907,780,945
F,22.0,"1,659",60.2,835,710,970
F,38.0,"1,580",52.9,805,720,933
F,25.0,"1,604",53.7,825,664,922
M,29.0,"1,724",87.1,"1,021",940,"1,031"
M,18.0,"1,808",62.6,895,695,880
M,17.0,"1,755",60.8,805,705,915
F,58.0,"1,541",78.5,"1,047","1,065","1,050"
M,33.0,"1,794",84.5,"1,071",962,"1,005"
F,34.0,"1,620",65.1,895,862,985
M,19.0,"1,661",70.8,945,765,918
F,33.0,"1,570",57.9,865,775,937
F,54.0,"1,610",58.0,925,777,921
M,18.0,"1,774",84.0,988,925,995
M,20.0,"1,783",73.8,920,803,952
F,17.0,"1,583",44.7,704,630,862
F,37.0,"1,662",76.6,"1,027",909,"1,018"
F,20.0,"1,602",54.6,791,695,935
F,57.0,"1,531",54.9,934,823,885
M,31.0,"1,843",62.8,844,703,896
M,45.0,"1,628",73.8,979,898,956
M,18.0,"1,820",60.4,838,676,866
F,19.0,"1,581",59.7,867,741,950
F,49.0,"1,525",65.3,"1,005",880,"1,025"
M,51.0,"1,665",61.8,900,750,907
M,19.0,"1,637",49.8,757,698,848
F,26.0,"1,535",49.9,816,715,860
M,18.0,"1,734",95.4,"1,118","1,014","1,103"
F,41.0,"1,625",53.8,831,734,919
F,69.0,"1,527",51.0,905,847,870
F,16.0,"1,517",47.8,785,631,890
M,62.0,"1,354",50.1,961,944,825
